,Price,Address,Floor,Bathroom,Bedroom,Land,Road,Land Mark
1129,29500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4,5,1095.2,13.0,Imadol Swimming Pool
1130,22500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4,6,1197.87,13.0,Ochu Height
1131,37500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,5,5,1369,13.0,Bojepokhari
1132,13500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,3,5,1369,13.0,Muktinath Temple Godamchaur
1133,34500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4,5,1369,13.0,New Milenium Scholl
1134,31500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4,4,1026.75,13.0,"Tempo Chowk, Sanagaun"
1135,26500000.0,"Talchhikhel Naya Basti Bodhigram Gwarko Nakhipot Hattiban Khumaltar, Satdobato Area, Lalitpur",2.5,4,4,1026.75,13.0,Hattiban Micro Stop
1136,39000000.0,"Sukedhara, Kathmandu",2.5,5,7,1369,13.0,Near by sukadhara
1139,26000000.0,"Sipadol (Suryabinayak), Bhaktapur",2.5,3,5,1369,13.0,2km From Aadarsha Chowk
1142,30000000.0,"Sitapaila (Nagarjun), Kathmandu",2.5,3,6,1540.125,12.0,50m From Ringroad.
1145,73100000.0,"Sitapaila (Nagarjun), Kathmandu",2.5,4,4,3677.2549,13.0,Padma Fuel Center
1147,25000000.0,"Sitapaila (Nagarjun), Kathmandu",2.5,4,4,2395.75,13.0,Fasku Chowk
1155,70000000.0,"Sukedhara, Kathmandu",2.5,5,5,4449.25,13.0,Sukhedhara nilo pool.
1161,67500000.0,"Sukedhara, Kathmandu",2.5,5,5,4449.25,13.0,13ann
1162,63000000.0,"Sobha Electronics and Electrics, Phaimalchuli Road, Tokha, Tokha Municipality, Kathmandu, Bagmati Pradesh, 40607, Nepal",2.5,5 (one attached),6,3123.03,20.0,Indrapuri
1164,28000000.0,"Sitapakha, Imadol, Mahalaxmi, Lalitpur, Bagmati Pradesh, 44705, Nepal",2.5,4,6,1197.87,13.0,tikathali
