,price,views,land area,road access,facing,floor,parking,bedroom,bathroom,furnish status,amenity,city,district
913,Rs. 8.2 Cr,321,10.0 ,20-26 Feet,,2.5,,,,,,Kalimati, Kathmandu
914,Rs. 2.5 Cr,178,1.3 ,30 Feet,East,2.5,,4.0,,,,Kalikasthan, Kathmandu
915,Rs. 2.98 Cr,581,4.1 ,13 Feet,,2.5,,,,,,Budhanilkantha, Kathmandu
918,Rs. 2.9 Cr,223,4.0 ,10-14 Feet,,2.5,,,,,,Thulobharyang, Kathmandu
919,Rs. 9.6 Cr,401,16.0 ,15 Feet,South-East,2.5,,7.0,6.0,,,Bansbari, Kathmandu
921,Rs. 1.25 Cr,64 ,4.0 ,20 Feet,North,1.0,,,,,,Bhadrabas, Kathmandu
922,Rs. 5.5 Cr,433,6.0 ,16 Feet,East,3.5,,,,,,Bagdol, Lalitpur
923,Rs. 12.5 Cr,313,30.0 ,12-18 Feet,,2.0,,5.0,5.0,,,Dhapasi, Kathmandu
924,Rs. 6.75 Cr,139,6.1 ,12 Feet,,2.5,,6.0,5.0,,,Ganesh Chowk, Kathmandu
925,Rs. 15 Cr,654,8.0 ,12-15 Feet,,2.0,,5.0,6.0,,,Bhaisepati, Lalitpur
926,Rs. 3.6 Cr,179,5.0 ,13 Feet,North,3.5,,6.0,5.0,,,Kapan, Kathmandu
928,Rs. 13.5 Cr,204,21.0 ,20 Feet,East,2.5,,6.0,6.0,,,Siddhartha Colony, Kathmandu
929,Rs. 4.25 Cr,216,3.3 ,16 Feet,South,2.5,,5.0,5.0,,,Narayanthan , Kathmandu
930,Rs. 5.3 Cr,236,5.2 ,13 Feet,South-West,2.5,,4.0,4.0,,"Earthquake Resistant,Marbel,Parquet,Solar,Garden,Bed Room,Water Purifier,Modular Kitchen,Parking,Drinking Water,Internet,+ 1 See More",Nakkhu, Lalitpur
931,Rs. 4 Cr,374,5.0 ,20 Feet,West,2.5,,5.0,4.0,,,Bhaisepati, Lalitpur
932,Rs. 15 Cr,420,8.2 ,13 Feet,South,2.5,,6.0,7.0,,"Earthquake Resistant,Marbel,Parquet,Drainage,Garden,Bathroom,Parking,Washing Machine,AirCon,Internet,Fridge,+ 3 See More",Bhaisepati, Lalitpur
933,Rs. 3.65 Cr,115,6.2 ,15 Feet,East,2.5,,5.0,5.0,,,Hattigaunda, Kathmandu
934,Rs. 3.99 Cr,276,5.0 ,15 Feet,East,2.5,,4.0,4.0,,,Bhaisepati, Lalitpur
935,Rs. 3.85 Cr,228,4.2 ,20 Feet,,2.5,,6.0,5.0,,,Sundarbasti, Kathmandu
936,Rs. 3.85 Cr,134,5.0 ,13 Feet,,2.5,,6.0,5.0,,,Sundarbasti, Kathmandu
937,Rs. 6.74 Cr,435,10.2 ,20 Feet,North-West,2.0,,4.0,3.0,,,Sitapaila, Kathmandu
938,Rs. 11 Cr,320,15.0 ,15 Feet,North-East,2.5,,5.0,6.0,,,Budhanilkantha, Kathmandu
939,Rs. 1.4 Cr,260,3.2 ,20 Feet,,1.0,,,,,,Gothatar, Kathmandu
940,Rs. 3.15 Cr,149,4.0 ,13 Feet,South,2.5,,11.0,5.0,,,Gongabu, Kathmandu
941,Rs. 4.75 Cr,389,4.2 ,13 Feet,South-East,2.5,,5.0,4.0,,,Bhaisepati, Lalitpur
942,Rs. 37 Lac/aana,405,75.0 ,22 Feet,,2.5,,6.0,4.0,,,Thaiba, Lalitpur
943,Rs. 2.5 Cr,171,4.0 ,12 Feet,South-East,2.5,,5.0,3.0,,,Jarankhu, Kathmandu
944,Rs. 1.85 Cr,559,4.2 ,26 Feet,West,2.5,,4.0,3.0,,,Dhapakhel, Lalitpur
945,Rs. 2.1 Cr,230,3.3 ,10 Feet,East,3.5,,10.0,3.0,,,Sudal, Bhaktapur
946,Rs. 3.5 Cr,262,6.0 ,22 Feet,North-East,2.5,,6.0,4.0,,,Khumaltar, Lalitpur
947,Rs. 2.75 Cr,617,4.0 ,14-20 Feet,,2.5,,4.0,4.0,,,Nakhipot, Lalitpur
949,Rs. 1.9 Cr,133,3.2 ,13 Feet,North,2.5,,,,,,Baluwa, Kathmandu
950,Rs. 5.25 Cr,159,8.0 ,12 Feet,East,3.0,,8.0,4.0,,,Deuwa chowk, Kathmandu
951,Rs. 4.5 Cr,179,8.0 ,13 Feet,North-East,2.5,,5.0,4.0,,"Earthquake Resistant,Marbel,Parquet,Solar,Iron,Modular Kitchen,Parking,Bathroom,Drainage,Drinking Water,Internet,+ 1 See More",Machhegaun , Kathmandu
952,Rs. 2.65 Cr,179,3.2 ,11 Feet,North-West,2.5,,4.0,4.0,,,Imadol, Lalitpur
953,Rs. 4.5 Cr,364,6.1 ,10-14 Feet,,2.5,,,,,,Satdobato, Lalitpur
954,Rs. 11 Cr,239,19.0 ,12-18 Feet,North,2.5,,11.0,9.0,,,Swoyambhu, Kathmandu
955,Rs. 2.15 Cr,315,4.0 ,13 Feet,East,2.0,,6.0,,,,Sanagaun, Lalitpur
956,Rs. 35 Lac/aana,234,8.0 ,15 Feet,East,,,,,,,Gothatar, Kathmandu
957,Rs. 4.5 Cr,230,5.2 ,13 Feet,,2.5,,5.0,5.0,,,Sinamangal, Kathmandu
958,Rs. 4.25 Cr,202,5.2 ,18 Feet,West,2.5,,7.0,4.0,,,Khumaltar, Lalitpur
959,Rs. 6.25 Cr,349,8.0 ,13/16 Feet,South-East,2.5,,6.0,3.0,,,Radhe Radhe, Bhaktapur
960,Rs. 4.2 Cr,640,8.2 ,13 Feet,North-East,2.0,,4.0,3.0,,,Dhapakhel, Lalitpur
961,Rs. 1.55 Cr,497,3.0 ,12-26 Feet,South,1.0,,4.0,,,,Chunikhel, Kathmandu
962,Rs. 3.35 Cr,204,4.0 ,13-18 Feet,,2.5,,,,,,Kapan, Kathmandu
963,Rs. 2.9 Cr,253,3.0 ,26 Feet,South-East,2.5,,3.0,3.0,,,Dhapakhel, Lalitpur
964,Rs. 3.2 Cr,486,4.0 ,20 Feet,South,2.5,,4.0,4.0,,,Budhanilkantha, Kathmandu
965,Rs. 3.25 Cr,359,4.1 ,20 Feet,,2.5,,,,,,Budhanilkantha, Kathmandu
966,Rs. 4.95 Cr,110,4.0 ,12 Feet,,2.0,,,,,,Sukedhara, Kathmandu
967,Rs. 5.5 Cr,397,5.0 ,14-20 Feet,,2.5,,3.0,3.0,,,Bhaisepati, Lalitpur
969,Rs. 7.75 Cr,373,9.2 ,16 Feet,East,2.5,,4.0,4.0,,,Sanepa, Lalitpur
970,Rs. 2 Cr,175,3.0 ,13 Feet,East,2.0,,5.0,2.0,,,Boharatar, Kathmandu
971,Rs. 4.8 Cr,266,4.0 ,25 Feet,North-East,2.5,,6.0,5.0,,,Budhanilkantha, Kathmandu
972,Rs. 1.5 Cr,380,10.0 ,20 Feet,,1.0,,,,,,Gundu, Bhaktapur
973,Rs. 60 Lac/aana,216,16.0 ,26 Feet,South,,,,,,,Raniban, Kathmandu
974,Rs. 4 Cr,617,3.0 ,20 Feet,South,2.5,,4.0,4.0,Full-Furnished,,Jhamsikhel, Lalitpur
975,Rs. 3.6 Cr,256,5.0 ,40/50 Meter,South,2.5,,6.0,3.0,Un-Furnished,,Ekantakuna, Lalitpur
976,Rs. 3.65 Cr,14.,3.2 ,20 Feet,,2.5,,5.0,4.0,Semi-Furnished,,Bhaisepati, Lalitpur
977,Rs. 5.5 Cr,282,0 sq. ft,16 Feet,North,2.5,,4.0,4.0,,,Godawari, Lalitpur
978,Rs. 5.35 Cr,168,5.2 ,21 Feet,,2.5,,5.0,5.0,,,Grande Villa, Kathmandu
979,Rs. 5 Cr,239,5.1 ,12-18 Feet,,2.5,,5.0,,,,Budhanilkantha, Kathmandu
980,Rs. 5.5 Cr,140,5.0 ,20 Feet,South-West,2.5,,4.0,5.0,,,Bhaisepati, Lalitpur
981,Rs. 3.25 Cr,247,20.0 ,18 Feet,North,2.5,,4.0,4.0,,,Muhanpokhari, Kathmandu
982,Rs. 13.5 Cr,304,21.0 ,20 Feet,East,2.0,,6.0,6.0,Semi-Furnished,,Budhanilkantha, Kathmandu
983,Rs. 3 Cr,206,4.0 ,0 Feet,North,2.5,,4.0,,,,Sainbu, Lalitpur
984,Rs. 2.6 Cr,162,3.0 ,10 Feet,North,3.5,,8.0,4.0,,,Pepsicola, Kathmandu
985,Rs. 1.95 Cr,166,3.2 ,13 Feet,,2.5,,,,,,Thankot, Kathmandu
987,Rs. 13 Cr,210,6.0 ,20 Feet,South-East,2.0,,,,,,Thamel, Kathmandu
988,Rs. 4.5 Cr,157,5.0 ,20 Feet,North,2.5,,4.0,5.0,,,Sanobharyang, Kathmandu
989,Rs. 10.5 Cr,151,7.1 ,16 Feet,South,4.5,,10.0,8.0,,,Khusibu, Kathmandu
990,Rs. 7 Cr,133,7.0 ,12 Feet,East,2.5,,4.0,3.0,Semi-Furnished,,Sukedhara, Kathmandu
992,Rs. 3.5 Cr,198,3.0 ,13 Feet,North,3.0,,,,,,Thulobharyang, Kathmandu
993,Rs. 2.05 Cr,247,2.2 ,13 Feet,North,2.5,,4.0,4.0,Semi-Furnished,,Imadol, Lalitpur
994,Rs. 3 Cr,74 ,4.0 ,13 Feet,,1.5,,7.0,,Full-Furnished,,Thankot, Kathmandu
996,Rs. 2.25 Cr,215,2.2 ,10 Feet,South,2.5,,4.0,2.0,,,Lazimpat, Kathmandu
997,Rs. 2.4 Cr,82 ,3.0 ,11 Feet,South,3.0,,5.0,3.0,,,Tokha, Kathmandu
999,Rs. 6.5 Cr,151,6.0 ,12-18 Feet,,2.5,,,,,,Ganesh Chowk, Kathmandu
1000,Rs. 5.5 Cr,206,4.2 ,16-40 Feet,South-East,2.5,,3.0,4.0,Full-Furnished,,Bhaisepati, Lalitpur
1001,Rs. 1.85 Cr,154,3.2 ,10 Feet,,2.5,,8.0,,,,Chandragiri, Kathmandu
1002,Rs. 9 Cr,615,12.1 ,16 Feet,South,2.5,,5.0,4.0,Full-Furnished,,Maharajgunj, Kathmandu
1003,Rs. 4 Cr,236,4.0 ,26 Feet,,2.5,,4.0,5.0,Semi-Furnished,,Khumaltar, Lalitpur
1004,Rs. 1.6 Cr,237,3.1 ,13 Feet,East,1.0,,4.0,,,,Kapan, Kathmandu
1005,Rs. 3.9 Cr,236,5.0 ,20 Feet,North-West,,,6.0,5.0,,,Budhanilkantha, Kathmandu
1006,Rs. 6.25 Cr,213,9.2 ,13 Feet,South,2.0,,4.0,3.0,,,Bansbari, Kathmandu
1008,Rs. 8.5 Cr,576,7.0 ,12-18 Feet,,3.5,,6.0,7.0,,,Putalisadak, Kathmandu
1009,Rs. 3.2 Cr,134,4.0 ,12-18 Feet,,2.5,,,,,,Kalanki, Kathmandu
1010,Rs. 7 Cr,165,8.0 ,20 Feet,West,2.5,,6.0,5.0,Semi-Furnished,,Budhanilkantha, Kathmandu
1011,Rs. 3.15 Cr,160,3.2 ,20 Feet,North-East,2.5,,5.0,5.0,,,Golfutar, Kathmandu
1012,Rs. 3.3 Cr,370,4.2 ,16 Feet,,3.0,,,4.0,,,Pasikot, Kathmandu
1013,Rs. 7 Cr,118,11.0 ,12 Feet,East,3.5,,9.0,10.0,,,Lolang, Kathmandu
1014,Rs. 2.6 Cr,172,4.0 ,10 Feet,North-East,2.5,,6.0,3.0,,,Tokha, Kathmandu
1015,Rs. 14 Cr,3.1,10.0 ,14 Feet,West,3.5,,6.0,6.0,Full-Furnished,,Baluwatar, Kathmandu
1016,Rs. 5.5 Cr,92 ,5.2 ,12 Feet,South-East,2.5,,5.0,,Full-Furnished,,Mid Baneshwor, Kathmandu
1017,Rs. 5.75 Cr,106,6.0 ,15 Feet,South,2.5,,5.0,5.0,,,Rudreshwor, Kathmandu
1018,Rs. 2.95 Cr,156,6.0 ,8-12 Feet,East,3.5,,,,,,Kapan, Kathmandu
1019,Rs. 2.25 Cr,160,4.0 ,13 Feet,,2.5,,,,,,Sukedhara, Kathmandu
1020,Rs. 10 Cr,112,8.0 ,16 Feet,South,3.0,,5.0,3.0,,,Bishalnagar, Kathmandu
1022,Rs. 3.35 Cr,139,5.0 ,13 Feet,South,2.5,,5.0,4.0,,,Pasikot, Kathmandu
1023,Rs. 17.5 Cr,185,17.0 ,12-18 Feet,South-East,2.5,,5.0,5.0,,,Budhanilkantha, Kathmandu
1024,Rs. 4.15 Cr,1k ,4.0 ,14-20 Feet,,2.5,,4.0,4.0,,,Deuwa Niwas, Kathmandu
1025,Rs. 3 Cr,14 ,3.1 ,10-16 Feet,South,2.5,,,,,,Harisiddhi, Lalitpur
1026,Rs. 2.1 Cr,86 ,3.0 ,10 Feet,,2.5,,,,,,Nepaltar, Kathmandu
1027,Rs. 2.6 Cr,75 ,4.0 ,13 Feet,,3.0,,,,,,Thankot, Kathmandu
1029,Rs. 3.1 Cr,69 ,4.0 ,12-18 Feet,,,,,,,,Setipakha, Lalitpur
1030,Rs. 1.6 Cr,226,2.2 ,10-12 Feet,South,2.5,,4.0,5.0,,,Ekatabasti, Kathmandu
1031,Rs. 3.35 Cr,113,4.0 ,13 Feet,,2.5,,6.0,5.0,,,Budhanilkantha, Kathmandu
1032,Rs. 4.5 Cr,101,3.2 ,12 Feet,,5.5,,,15.0,Un-Furnished,,Sorhakhutte, Kathmandu
1033,Rs. 2.15 Cr,151,3.2 ,12 Feet,,3.0,,4.0,3.0,,,Pasikot, Kathmandu
1034,Rs. 3.45 Cr,193,4.0 ,13 Feet,East,1.5,,5.0,,,,Imadol, Lalitpur
1035,Rs. 1.45 Cr,225,3.0 ,11 Feet,North,1.5,,4.0,1.0,,,Imadol, Lalitpur
1036,Rs. 2.6 Cr,192,4.2 ,16 Feet,South,2.5,,5.0,3.0,,,Banasthali, Kathmandu
1038,Rs. 1.85 Cr,226,3.2 ,13 Feet,,1.0,,4.0,,,,Budhanilkantha, Kathmandu
1039,Rs. 7.75 Cr,804,9.3 ,20 Feet,East,,,,,,,Naya Bazar, Kathmandu
1041,Rs. 4.4 Cr,132,3.3 ,20 Feet,North,2.5,,4.0,4.0,Full-Furnished,,Bhaisepati, Lalitpur
1042,Rs. 3.6 Cr,175,4.1 ,20 Feet,North-East,2.5,,7.0,,,,Imadol, Lalitpur
1043,Rs. 7.5 Cr,182,7.3 ,24 Feet,,2.5,,4.0,5.0,,,Budhanilkantha, Kathmandu
1044,Rs. 2.15 Cr,8k ,3.3 ,13 Feet,West,2.5,,5.0,3.0,,,Duwakot, Bhaktapur
1045,Rs. 3.95 Cr,90 ,5.0 ,13 Feet,South-East,3.0,,7.0,5.0,,,Budhanilkantha, Kathmandu
1046,Rs. 14 Cr,120,7227 sq. ft,13 Feet,East,6.0,,,,Semi-Furnished,,New Road, Kathmandu
1048,Rs. 2.25 Cr,152,1200 sq. ft,13 Feet,South,7.0,,,,,,New Road, Kathmandu
1049,Rs. 3.5 Cr,104,6.1 ,10 Feet,South-West,2.5,,6.0,,,,Makalbari, Kathmandu
1050,Rs. 3 Cr,43 ,4.2 ,12 Feet,North,2.5,,6.0,3.0,Semi-Furnished,,Sitapaila, Kathmandu
1051,"Rs. 70,000 /m",173,4.0 ,14 Feet,South,2.5,,4.0,3.0,,"Sofa,Gym,Dining Room,Solar,Bed Room,Garden,Modular Kitchen,Swimming Pool,Playground,Parking,Drinking Water,+ 2 See More",Bafal, Kathmandu
1052,Rs. 2.35 Cr,190,3.0 ,20 Feet,,3.5,,4.0,3.0,,,Tikathali, Lalitpur
1053,Rs. 2.3 Cr,237,3.0 ,12 Feet,East,2.5,,4.0,4.0,,,Imadol, Lalitpur
1054,Rs. 3.75 Cr,227,6.0 ,25 Feet,South,2.5,,3.0,,,,Dhapasi, Kathmandu
1055,Rs. 3.38 Cr,129,4.2 ,13 Feet,,2.5,,6.0,5.0,,,Kapan, Kathmandu
1056,Rs. 1.4 Cr,94 ,3.0 ,12 Feet,South-West,1.0,,2.0,1.0,,,Kapan, Kathmandu
1058,Rs. 2.6 Cr,97 ,4.0 ,13 Feet,,2.5,,,,,,Budhanilkantha, Kathmandu
1059,Rs. 11 Cr,212,10.2 ,12 Feet,North-East,5.0,,,,,,Balaju, Kathmandu
1060,Rs. 2.85 Cr,191,4.0 ,12-18 Feet,,2.5,,,,,,Gopikrishna Hall, Kathmandu
1061,Rs. 3.9 Cr,128,4.3 ,16 Feet,North,2.0,,,,,,Grande Villa, Kathmandu
1062,Rs. 2.9 Cr,109,2244 sq. ft,20 Feet,South,2.5,,4.0,4.0,Un-Furnished,,Nakhipot, Lalitpur
1064,Rs. 3.35 Cr,243,3.2 ,13 Feet,,2.5,,6.0,2.0,,,Budhanilkantha, Kathmandu
1065,Rs. 2.65 Cr,186,7.3 ,10-16 Feet,North-East,2.0,,,,,,Sirutar, Bhaktapur
1066,Rs. 2.75 Cr,193,4.0 ,12 Feet,,4.0,,13.0,4.0,,,Panga, Kathmandu
1068,Rs. 2.85 Cr,150,5.0 ,10-18 Feet,South,1.0,,1.0,,,,Khumaltar, Lalitpur
1070,Rs. 59 Lac/aana,229,16.0 ,36 Feet,North-West,2.5,,5.0,4.0,,,Thimi, Bhaktapur
1072,Rs. 3.9 Cr,289,5.2 ,13 Feet,,2.5,,,,,,Golfutar, Kathmandu
1073,Rs. 4.25 Cr,157,5.0 ,12-18 Feet,,2.5,,,,,,Budhanilkantha, Kathmandu
1075,Rs. 17.5 Cr,102,17.0 ,50 Feet,South-East,2.5,,5.0,5.0,,,Budhanilkantha, Kathmandu
1076,Rs. 3.65 Cr,217,3.2 ,13 Feet,East,2.5,,3.0,4.0,Semi-Furnished,,Khumaltar, Lalitpur
1078,Rs. 3.5 Cr,88 ,8.0 ,12-18 Feet,West,,,,,,,Balkumari, Lalitpur
1079,Rs. 2.4 Cr,301,4.0 ,12-16 Feet,,2.5,,,,,,Kalanki, Kathmandu
1081,Rs. 85 Lac,176,3.2 ,16 Feet,,2.0,,,,,,Tarkeshwor, Kathmandu
1082,Rs. 2.5 Cr,118,2.2 ,10-16 Feet,East,2.5,,3.0,,,,Bafal, Kathmandu
1083,Rs. 5.95 Cr,131,6.0 ,13-20 Feet,South-West,2.5,,5.0,5.0,,,Bhaisepati, Lalitpur
1084,Rs. 2.65 Cr,153,2.3 ,13 Feet,South-East,4.0,,9.0,3.0,,,Jadibuti, Kathmandu
1085,Rs. 70 Lac/aana,107,7.3 ,10-16 Feet,,2.5,,,,,,Dhumbarahi, Kathmandu
1086,Rs. 4.1 Cr,200,3.3 ,20 Feet,North,2.5,,4.0,4.0,,,Bhaisepati, Lalitpur
1087,Rs. 7 Cr,160,9.0 ,13 Feet,,2.5,,,,,,Mid Baneshwor, Kathmandu
1088,Rs. 5.5 Cr,55 ,6.2 ,13 Feet,South,5.0,,20.0,22.0,Semi-Furnished,,Gongabu, Kathmandu
1089,Rs. 5.9 Cr,126,7.3 ,12-18 Feet,,2.5,,5.0,5.0,,,Hattigaunda, Kathmandu
1090,Rs. 4.55 Cr,59 ,5.0 ,12-18 Feet,,2.5,,6.0,5.0,,,Hepali Height, Kathmandu
1091,Rs. 2.05 Cr,143,3.0 ,10 Feet,,2.5,,7.0,3.0,,,Naya Basti, Kathmandu
1092,Rs. 4 Cr,65 ,6.3 ,25 Feet,South,2.5,,4.0,3.0,Semi-Furnished,,Gothatar, Kathmandu
1093,Rs. 3.75 Cr,53 ,3.1 ,10 Feet,West,3.5,,8.0,3.0,,,Gongabu, Kathmandu
1094,Rs. 4.35 Cr,268,4.2 ,16 Feet,West,2.5,,3.0,3.0,Full-Furnished,,Golfutar, Kathmandu
1095,Rs. 3.25 Cr,135,1100 sq. ft,16 Feet,South,3.5,,,,,,Manamaiju, Kathmandu
1096,Rs. 3.1 Cr,129,3.3 ,13 Feet,South-West,2.5,,5.0,3.0,,,Dhapasi, Kathmandu
1097,Rs. 3.1 Cr,183,4.0 ,10/14 Feet,South,2.5,,4.0,4.0,,,Banasthali, Kathmandu
1098,Rs. 4.75 Cr,603,4.3 ,13 Feet,South,2.5,,,,,,Budhanilkantha, Kathmandu
1099,Rs. 2.75 Cr,296,4.0 ,13 Feet,South,2.0,,5.0,3.0,Semi-Furnished,,Manjushree Marga, Lalitpur
1100,Rs. 3.2 Cr,260,3.0 ,15 Feet,North-West,2.5,,6.0,5.0,Semi-Furnished,,Budhanilkantha, Kathmandu
1101,Rs. 5.25 Cr,386,7.2 ,15 Feet,South,2.5,,7.0,5.0,,,Handigaun, Kathmandu
1102,Rs. 6 Cr,260,6.0 ,13 Feet,South,3.5,,5.0,5.0,Semi-Furnished,,Chakupat, Lalitpur
1103,Rs. 2.45 Cr,498,3.2 ,12-18 Feet,,2.5,,,,,,Sundarbasti, Kathmandu
1104,Rs. 7 Cr,306,7.1 ,13 Feet,,4.0,,8.0,12.0,,,Deuwa chowk, Kathmandu
1105,Rs. 2.15 Cr,314,4.3 ,14 Feet,North,1.0,,2.0,1.0,,,Satungal, Kathmandu
1106,Rs. 5.75 Cr,344,6.0 ,15 Feet,South-East,2.5,,6.0,5.0,Semi-Furnished,,Hattigaunda, Kathmandu
1107,Rs. 5.5 Cr,392,6.2 ,13 Feet,South-East,2.5,,6.0,5.0,Semi-Furnished,,Bansbari, Kathmandu
1108,Rs. 1.95 Cr,255,3.0 ,12-18 Feet,,3.5,,,,,,Kapan, Kathmandu
1109,Rs. 2.85 Cr,350,3.1 ,13 Feet,East,2.5,,,,,,Mandikhatar, Kathmandu
1110,Rs. 15 Cr,280,21.3 ,14 Feet,,2.5,,5.0,4.0,Semi-Furnished,,Bhimsengola, Kathmandu
1111,Rs. 3.5 Cr,245,3.1 ,13-20 Feet,South,4.5,,4.0,2.0,,,Ghattekulo, Kathmandu
1112,Rs. 6.5 Cr,176,6.1 ,13-20 Feet,South,3.5,,10.0,4.0,,,Ghattekulo, Kathmandu
1114,Rs. 2.25 Cr,157,3.0 ,12-18 Feet,,2.5,,,,,,Kapan, Kathmandu
1115,Rs. 6.75 Cr,207,8.0 ,12-18 Feet,,2.5,,3.0,3.0,,,Hattigaunda, Kathmandu
1116,Rs. 4.3 Cr,359,5.1 ,12-18 Feet,,2.5,,4.0,4.0,,,Bhaisepati, Lalitpur
1117,Rs. 3.05 Cr,123,3.3 ,15 Feet,West,3.0,,5.0,4.0,,,Samakhusi, Kathmandu
1118,Rs. 6.9 Cr,163,5.0 ,20 Feet,North,3.5,,8.0,,,,Budhanilkantha, Kathmandu
1119,Rs. 4 Cr,284,4.0 ,10-16 Feet,,2.5,,3.0,3.0,Full-Furnished,,Bhaisepati, Lalitpur
1120,Rs. 8.2 Cr,529,10.0 ,15-20 Feet,South-East,2.5,,4.0,5.0,Semi-Furnished,,Budhanilkantha, Kathmandu
1121,Rs. 4.7 Cr,498,6.0 ,15 Feet,South,2.0,,4.0,,,,Budhanilkantha, Kathmandu
1122,Rs. 1.9 Cr,114,3.2 ,13 Feet,South-East,2.0,,,,,,Budhanilkantha, Kathmandu
1123,Rs. 3.35 Cr,188,4.0 ,20 Feet,,2.5,,,,Full-Furnished,,Mahankal, Kathmandu
1125,Rs. 3.3 Cr,225,4.2 ,10 Feet,,2.5,,,,,,Dhumbarahi, Kathmandu
1126,Rs. 3 Cr,252,3.2 ,13 Feet,South,3.0,,6.0,3.0,,,Narayantar, Kathmandu
1127,Rs. 4.65 Cr,355,5.0 ,16 Feet,South,2.5,,5.0,4.0,Semi-Furnished,,Budhanilkantha, Kathmandu
1128,Rs. 3.5 Cr,172,4.2 ,15 Feet,,,,,,,,Gongabu, Kathmandu
1129,Rs. 3 Cr,215,3.2 ,10-14 Feet,,3.5,,,,,,Naya Basti, Kathmandu
1130,Rs. 6 Cr,1.3,8.0 ,15 Feet,West,,,,,,,Budhanilkantha, Kathmandu
1131,Rs. 2.55 Cr,225,5.0 ,14-15 Feet,,3.5,,5.0,,,,Budhanilkantha, Kathmandu
1132,Rs. 2.4 Cr,781,3.0 ,11 Feet,South,3.0,,6.0,3.0,,,Narayantar, Kathmandu
1133,Rs. 3.5 Cr,272,10.2 ,12 Feet,,3.5,,,,,,Bhairabchaur, Kathmandu
1134,Rs. 2.5 Cr,439,6.0 ,12 Feet,,2.5,,8.0,,,,Budhanilkantha, Kathmandu
1135,Rs. 3.2 Cr,247,4.0 ,13 Feet,,2.5,,6.0,4.0,,,Budhanilkantha, Kathmandu
1136,Rs. 3.3 Cr,16.,3.2 ,20 Feet,,2.5,,4.0,4.0,Semi-Furnished,"Drainage,Bathroom,Drinking Water,Water Purifier,Earthquake Resistant,Marbel,Parquet,Garden,Modular Kitchen,Parking,Solar,+ 3 See More",Nagdaha, Lalitpur
1137,Rs. 4.75 Cr,206,4080 sq. ft,12 Feet,South,3.5,,9.0,4.0,Un-Furnished,"Earthquake Resistant,Marbel,Sofa,CC Camera,Solar,Water Purifier,Modular Kitchen,Parking,Internet,Drinking Water,Bathroom,+ 2 See More",Sorhakhutte, Kathmandu
1138,Rs. 2.8 Cr,213,1900 sq. ft,20 Feet,South,2.5,,6.0,4.0,Semi-Furnished,,Raniban, Kathmandu
1139,Rs. 3.75 Cr,219,6.0 ,12-18 Feet,,2.5,,4.0,4.0,,,Dhapasi, Kathmandu
1140,Rs. 2.9 Cr,408,3.2 ,12 Feet,North,2.5,,6.0,5.0,,,Budhanilkantha, Kathmandu
1141,Rs. 3.7 Cr,234,5.0 ,10 Feet,West,2.0,,4.0,2.0,,,Gongabu, Kathmandu
1142,Rs. 3.85 Cr,263,5.2 ,13 Feet,,2.5,,,,,,Sampang Chowk, Lalitpur
1143,Rs. 4.75 Cr,501,4.3 ,12-18 Feet,South,2.5,,5.0,,,,Budhanilkantha, Kathmandu
1144,Rs. 7.15 Cr,310,6.0 ,11-14 Feet,East,3.5,,8.0,7.0,,,Baluwatar, Kathmandu
1145,Rs. 6.2 Cr,470,6.1 ,15 Feet,South,2.5,,6.0,5.0,,,Ganesh Chowk, Kathmandu
1146,Rs. 2.25 Cr,342,2.2 ,13 Feet,East,4.0,,20.0,10.0,,,Gongabu, Kathmandu
1147,Rs. 4.5 Cr,1.6,5.0 ,13 Feet,West,2.5,,6.0,5.0,,,Budhanilkantha, Kathmandu
1148,Rs. 3.75 Cr,392,4.2 ,13 Feet,,2.5,,5.0,5.0,,,Budhanilkantha, Kathmandu
1149,Rs. 3.1 Cr,258,4.2 ,13-20 Feet,North,2.5,,6.0,5.0,Full-Furnished,,Nakkhu, Lalitpur
1150,Rs. 5.5 Cr,318,8.0 ,10 Feet,South,2.5,,4.0,3.0,,,Baluwatar, Kathmandu
1151,Rs. 3.55 Cr,261,4.2 ,14 Feet,South,3.5,,6.0,5.0,Semi-Furnished,,Gwarko, Lalitpur
1152,Rs. 5.6 Cr,329,7.0 ,14 Feet,West,3.5,,7.0,6.0,,,Gothatar, Kathmandu
1153,Rs. 9.25 Cr,195,9.2 ,13 Feet,South-East,3.0,,5.0,5.0,,,Kalimati, Kathmandu
1154,Rs. 1.1 Cr,286,3.0 ,8 Feet,North,2.5,,3.0,,,,Nalinchwok, Bhaktapur
1155,Rs. 7 Cr,326,8.0 ,12-18 Feet,South,2.5,,3.0,,,,Ganesh Chowk, Kathmandu
1156,Rs. 3.9 Cr,231,4.3 ,16 Feet,North,,,4.0,,,,Grande Villa, Kathmandu
1157,Rs. 7.95 Cr,1.8,9.0 ,13-18 Feet,,3.0,,5.0,5.0,Full-Furnished,,Thecho, Lalitpur
1158,Rs. 3.3 Cr,321,4.0 ,13 Feet,North,2.5,,6.0,5.0,,,Samakhushi chowk, Kathmandu
1159,Rs. 3.2 Cr,576,4.0 ,12-18 Feet,,2.5,,,,,,Aakasedhara, Kathmandu
1160,Rs. 6.5 Cr,1.1,6.0 ,20 Feet,South-East,2.5,,5.0,4.0,,,Dhumbarahi, Kathmandu
